#x_m,y_m,z_m
-185.998807,-308.968837,25.473833
-190.965988,-308.969142,25.483619
-195.884522,-308.587587,25.492917
-200.726261,-307.732753,25.495179
-205.550145,-306.577228,25.487980
-210.349621,-305.249210,25.480782
-215.023258,-303.565424,25.457821
-219.618265,-301.641271,25.431207
-224.198272,-299.689094,25.403927
-228.624572,-297.438865,25.358700
-232.947640,-294.952103,25.305295
-237.267334,-292.459061,25.251896
-241.515830,-289.845704,25.200068
-245.695319,-287.132094,25.153350
-249.717764,-284.182542,25.096942
-253.610803,-281.053247,25.038897
-257.414860,-277.815206,24.978764
-261.225428,-274.584316,24.923804
-265.026018,-271.339676,24.874819
-268.854955,-268.131771,24.836481
-272.773841,-265.039057,24.818286
-276.723496,-261.988661,24.803001
-280.865320,-259.213263,24.788880
-285.108192,-256.588339,24.774135
-289.469828,-254.193947,24.749489
-293.979109,-252.120127,24.725168
-298.634164,-250.353307,24.698443
-303.377794,-248.851295,24.675333
-308.180994,-247.504952,24.654212
-313.019893,-246.320596,24.638314
-317.894335,-245.321942,24.624780
-322.836977,-244.671370,24.614597
-327.809451,-244.449751,24.605212
-332.776096,-244.596245,24.587776
-337.742678,-244.749493,24.570221
-342.715769,-245.123484,24.548862
-347.666461,-245.697796,24.523196
-352.569699,-246.617069,24.505109
-357.437034,-247.725633,24.483486
-362.275523,-248.954897,24.459503
-367.072746,-250.320154,24.419698
-371.796662,-251.921427,24.376804
-376.466298,-253.701134,24.345012
-381.084392,-255.593844,24.321760
-385.641787,-257.615764,24.305262
-390.075390,-259.902078,24.300000
-394.434500,-262.336273,24.300000
-398.659189,-264.981329,24.300000
-402.821741,-267.731142,24.297689
-406.831307,-270.691872,24.291050
-410.618554,-273.929386,24.284412
-414.203598,-277.373671,24.282488
-417.649118,-280.973919,24.289905
-421.063635,-284.599576,24.297322
-424.194258,-288.476157,24.300000
-427.218863,-292.447930,24.300000
-429.863958,-296.667118,24.300000
-432.309088,-301.010634,24.300000
-434.501347,-305.471489,24.295179
-436.550784,-309.996882,24.289179
-438.080562,-314.741970,24.264020
-439.363050,-319.555073,24.236107
-440.377125,-324.415270,24.222732
-441.111314,-329.322064,24.219960
-441.449738,-334.293698,24.208158
-441.581234,-339.263592,24.200000
-441.172308,-344.225831,24.200000
-440.492560,-349.132855,24.200000
-439.350300,-353.963692,24.200000
-437.915169,-358.709669,24.200000
-435.780621,-363.173659,24.192468
-433.415755,-367.533709,24.183673
-430.597467,-371.550954,24.180000
-427.333468,-375.209149,24.176014
-423.474146,-378.251396,24.160785
-419.403708,-381.038549,24.172916
-414.960936,-383.219904,24.188906
-410.384224,-385.040016,24.186936
-405.612946,-386.394868,24.207348
-400.757519,-387.434395,24.239781
-395.813933,-388.070866,24.283565
-390.845625,-388.510626,24.331892
-385.860817,-388.838168,24.383674
-380.868559,-389.070506,24.446278
-375.873553,-389.258643,24.511035
-370.876035,-389.387379,24.566993
-365.878168,-389.505889,24.607421
-360.880167,-389.615863,24.653661
-355.882932,-389.752552,24.716822
-350.886946,-389.921762,24.771411
-345.892957,-390.137464,24.809913
-340.900588,-390.397531,24.835621
-335.909096,-390.677137,24.865717
-330.926743,-391.071911,24.880079
-325.947779,-391.501384,24.894441
-320.975817,-392.014303,24.900000
-316.010245,-392.594488,24.900000
-311.055446,-393.257874,24.900000
-306.105934,-393.964205,24.884911
-301.160145,-394.695858,24.859556
-296.218105,-395.453720,24.832649
-291.278579,-396.227360,24.805165
-286.341687,-397.017767,24.777479
-281.408569,-397.830727,24.750526
-276.480207,-398.671831,24.713508
-271.551858,-399.513027,24.676855
-266.637789,-400.431458,24.642312
-261.734706,-401.408339,24.616220
-256.832019,-402.387129,24.589438
-251.938949,-403.413157,24.560416
-247.050911,-404.464971,24.537101
-242.160074,-405.503010,24.514400
-237.266666,-406.528346,24.491788
-232.367574,-407.525404,24.470407
-227.461602,-408.487902,24.453665
-222.551846,-409.431347,24.438829
-217.642052,-410.374604,24.423604
-212.717732,-411.216588,24.417149
-207.778823,-411.956483,24.420286
-202.828047,-412.625839,24.433956
-197.852824,-413.091111,24.464814
-192.873621,-413.506685,24.491835
-187.888207,-413.831474,24.505268
-182.891182,-413.965544,24.512197
-177.893802,-414.064808,24.523327
-172.896077,-414.127033,24.537249
-167.898251,-414.178308,24.551901
-162.898917,-414.134707,24.554876
-157.899587,-414.072498,24.555948
-152.902325,-413.936469,24.552467
-147.905669,-413.779129,24.553598
-142.910520,-413.566639,24.552752
-137.916171,-413.333144,24.541281
-132.921807,-413.099896,24.535230
-127.928190,-412.849711,24.532977
-122.934719,-412.596146,24.530140
-117.941091,-412.344667,24.541467
-112.947239,-412.097806,24.557880
-107.952984,-411.859641,24.574108
-102.958407,-411.629962,24.585420
-97.962543,-411.431130,24.595575
-92.966399,-411.237900,24.602096
-87.969742,-411.060736,24.610776
-82.972466,-410.901450,24.621037
-77.974831,-410.752816,24.635064
-72.976747,-410.616898,24.652034
-67.978664,-410.480980,24.669004
-62.980413,-410.352103,24.687008
-57.981702,-410.244298,24.705521
-52.982611,-410.153169,24.719779
-47.983370,-410.069222,24.732549
-42.983972,-409.994313,24.743803
-37.984553,-409.922233,24.762030
-32.985089,-409.853338,24.784589
-27.985572,-409.788262,24.807552
-22.986061,-409.722023,24.828356
-17.986552,-409.655325,24.848477
-12.987061,-409.586802,24.865914
-7.987581,-409.516648,24.879083
-2.988107,-409.445854,24.888297
2.011351,-409.373843,24.895919
7.010898,-409.308511,24.898245
12.010494,-409.246877,24.894681
17.010045,-409.181706,24.887600
22.009559,-409.115202,24.874671
27.009108,-409.053966,24.855156
32.008668,-408.994388,24.833570
37.008287,-408.941103,24.807735
42.007991,-408.900244,24.780580
47.007647,-408.884373,24.750400
52.006917,-408.931403,24.723544
57.006204,-408.981536,24.694875
62.005491,-409.031836,24.666109
67.001645,-409.168575,24.650957
71.995093,-409.399284,24.649279
76.986392,-409.682028,24.657530
81.966245,-410.076535,24.667416
86.929561,-410.596887,24.673423
91.857437,-411.367890,24.678922
96.772095,-412.237489,24.687029
101.674905,-413.172817,24.693645
106.556659,-414.208968,24.706690
111.421299,-415.333428,24.724271
116.283244,-416.474143,24.741081
121.121794,-417.723264,24.748444
125.932469,-419.077916,24.750671
130.717955,-420.521367,24.747363
135.489630,-422.012072,24.742491
140.255201,-423.520827,24.739431
145.006362,-425.072658,24.736099
149.756433,-426.627624,24.732019
154.504072,-428.189572,24.726270
159.251330,-429.752684,24.720521
163.982613,-431.364528,24.714772
168.714178,-432.975571,24.709582
173.448966,-434.577463,24.707165
178.184336,-436.177699,24.704748
182.920494,-437.777204,24.704616
187.649162,-439.401392,24.705039
192.384300,-441.006661,24.711439
197.119439,-442.611931,24.717840
201.858675,-444.205047,24.728801
206.601748,-445.786796,24.742612
211.351349,-447.348979,24.762145
216.111368,-448.878783,24.782936
220.880426,-450.380215,24.803877
225.652114,-451.873300,24.824357
230.426220,-453.358707,24.844412
235.203009,-454.835459,24.865658
239.990176,-456.276748,24.883110
244.782769,-457.700039,24.897081
249.590904,-459.070824,24.900000
254.401933,-460.431991,24.900000
259.212962,-461.793158,24.900000
264.043843,-463.079317,24.896045
268.883513,-464.332143,24.890147
273.729838,-465.560436,24.881875
278.588848,-466.736740,24.866837
283.451762,-467.896623,24.849537
288.323083,-469.018029,24.828479
293.207363,-470.079646,24.803468
298.093684,-471.131808,24.777997
302.999403,-472.088661,24.751758
307.918506,-472.977893,24.724066
312.848958,-473.803226,24.691254
317.787560,-474.571435,24.663274
322.735251,-475.277394,24.637598
327.698065,-475.868982,24.624076
332.663984,-476.434826,24.613020
337.636887,-476.950811,24.608987
342.610910,-477.458810,24.606079
347.589511,-477.902784,24.599777
352.568247,-478.344871,24.593376
357.554433,-478.679026,24.575925
362.547914,-478.910971,24.550058
367.544353,-479.071895,24.529674
