#x_m,y_m,z_m
-27.148465,545.630793,14.413914
-24.446679,541.423743,14.382802
-21.745687,537.216165,14.356037
-19.051038,533.004493,14.335537
-16.360995,528.789868,14.317013
-13.676014,524.572028,14.296640
-10.993761,520.352458,14.274852
-8.311875,516.132651,14.254201
-5.626251,511.915194,14.244249
-2.944777,507.695082,14.236881
-0.255538,503.479899,14.233540
2.433701,499.264717,14.230199
5.122824,495.049463,14.226416
7.809013,490.832378,14.215324
10.494950,486.615133,14.204232
13.184017,482.399841,14.200000
15.875206,478.185879,14.200000
18.566395,473.971917,14.200000
21.259977,469.759491,14.198190
23.955515,465.548334,14.190804
26.647832,461.335136,14.182100
29.337320,457.120140,14.173396
32.030871,452.907717,14.164254
34.721787,448.693603,14.162518
37.414566,444.480667,14.165615
40.107085,440.267572,14.166336
42.799416,436.054359,14.165965
45.494758,431.843106,14.158777
48.188588,427.630903,14.141156
50.881795,423.418298,14.124916
53.570673,419.202912,14.127010
56.260002,414.987804,14.137760
58.949468,410.772779,14.150690
61.629728,406.575593,14.140741
64.321323,402.361909,14.149864
67.012695,398.148087,14.161581
69.704308,393.934424,14.169110
72.395921,389.720757,14.172592
75.087465,385.507049,14.174545
77.778829,381.293232,14.172485
80.470880,377.079851,14.167797
83.163075,372.866549,14.161547
85.854272,368.652609,14.154147
88.546954,364.439622,14.147331
91.240487,360.227178,14.143286
93.934021,356.014734,14.139241
96.627267,351.802104,14.136118
99.319872,347.589061,14.134999
102.015096,343.377692,14.133928
104.711468,339.167056,14.134580
107.409720,334.957634,14.136562
110.108932,330.748833,14.140065
112.807996,326.539938,14.143568
115.501722,322.327631,14.148424
118.190771,318.112321,14.150046
120.879820,313.897012,14.151669
123.567058,309.680560,14.159111
126.253547,305.463644,14.165367
128.944405,301.249511,14.167208
131.636051,297.035877,14.160700
134.324814,292.820399,14.146740
137.013412,288.604817,14.133566
139.701622,284.388999,14.129498
142.392197,280.174694,14.125429
145.088366,275.963989,14.123423
147.790897,271.757349,14.121913
150.488764,267.547680,14.120952
153.185714,263.337410,14.123856
155.881566,259.126443,14.129163
158.577419,254.915475,14.134470
161.272636,250.704104,14.141410
163.964771,246.490775,14.152374
166.650470,242.273349,14.164475
169.338131,238.057165,14.174134
172.028415,233.842646,14.182881
174.720179,229.629054,14.186640
177.411943,225.415461,14.190399
180.103414,221.201682,14.194158
182.793772,216.987191,14.196734
185.484279,212.772793,14.198049
188.174789,208.558398,14.199364
190.866653,204.344869,14.200000
193.563193,200.134337,14.200000
196.260191,195.924098,14.200000
198.958036,191.714400,14.200000
201.652877,187.502777,14.200000
204.344935,183.289372,14.200000
207.035946,179.075295,14.200000
