#x_m,y_m,z_m
-947.713019,-0.344873,89.846845
-952.514026,1.033838,89.651007
-957.301823,2.457276,89.477672
-962.061867,3.974684,89.321697
-966.797799,5.571558,89.188852
-971.527132,7.187799,89.063211
-976.249376,8.824940,88.948123
-980.954736,10.512199,88.849170
-985.649786,12.228037,88.761920
-990.327758,13.990555,88.690603
-994.996438,15.778502,88.648551
-999.614024,17.681947,88.641560
-1004.210019,19.631250,88.645283
-1008.800636,21.594334,88.653783
-1013.380426,23.583634,88.671669
-1017.931403,25.641146,88.720706
-1022.477951,27.709445,88.775315
-1026.986048,29.859589,88.852459
-1031.453247,32.093622,88.953377
-1035.920445,34.327655,89.054295
-1040.378291,36.580001,89.159980
-1044.772888,38.958647,89.301316
-1049.122433,41.414398,89.447660
-1053.402104,43.987451,89.595331
-1057.657378,46.603390,89.742303
-1061.912652,49.219329,89.889275
-1066.100327,51.934355,90.040998
-1070.247391,54.710979,90.192907
-1074.357593,57.540107,90.349262
-1078.406564,60.454157,90.511133
-1082.356895,63.501413,90.683287
-1086.181989,66.709976,90.855521
-1089.997128,69.930184,91.027238
-1093.780902,73.185486,91.193421
-1097.500938,76.514732,91.348261
-1101.100662,79.979213,91.478493
-1104.651796,83.492197,91.602180
-1108.133153,87.073104,91.723239
-1111.481611,90.781518,91.851274
-1114.738271,94.570439,91.979028
-1117.958707,98.389116,92.102962
-1121.104734,102.268830,92.217556
-1124.225819,106.169375,92.331528
-1127.308828,110.101649,92.444564
-1130.221985,114.160179,92.542139
-1133.043252,118.281549,92.637364
-1135.732162,122.489448,92.727621
-1138.386768,126.719792,92.817601
-1140.925717,131.024044,92.902150
-1143.441321,135.343259,92.983282
-1145.896598,139.692598,93.065796
-1148.052765,144.199528,93.150234
-1150.168665,148.728232,93.234743
-1152.273735,153.261701,93.321662
-1154.353512,157.806397,93.412643
-1156.409839,162.361915,93.502686
-1158.429074,166.934403,93.593382
-1160.411314,171.523635,93.683850
-1162.378619,176.119685,93.758428
-1164.343297,180.716897,93.831838
-1166.304158,185.315812,93.899383
-1168.257767,189.917978,93.955143
-1170.210268,194.520686,94.001625
-1172.160164,199.124499,94.046943
-1174.110409,203.728189,94.089743
-1176.064427,208.330358,94.128783
-1178.020878,212.931502,94.166084
-1179.979849,217.531583,94.200194
-1181.955622,222.124409,94.235643
-1183.949972,226.708826,94.270037
-1186.007609,231.263954,94.300738
-1188.090422,235.807471,94.330651
-1190.272143,240.305463,94.352655
-1192.486821,244.787919,94.370842
-1194.714407,249.263777,94.386236
-1196.966676,253.727154,94.396148
-1199.269356,258.164396,94.397934
-1201.652678,262.558558,94.391258
-1204.078644,266.928876,94.382520
-1206.509619,271.296430,94.373783
-1209.017612,275.618376,94.365045
-1211.743707,279.793103,94.365575
-1214.621090,283.865320,94.373971
-1217.712296,287.770040,94.380026
-1221.157485,291.339896,94.387856
-1224.831987,294.689949,94.388758
-1228.645512,297.846736,94.382424
-1232.711056,300.667157,94.380000
-1236.964039,303.237964,94.380000
-1241.351130,305.588767,94.380024
-1245.878811,307.587633,94.384594
-1250.539950,309.278568,94.389165
-1255.296510,310.670309,94.393735
-1260.156066,311.750433,94.398306
-1265.087614,312.489880,94.402513
-1270.046805,312.971452,94.410325
-1275.020876,313.345100,94.418137
-1280.014483,313.399178,94.422332
-1285.007511,313.345943,94.430452
-1289.999458,313.164309,94.443052
-1294.983899,312.806454,94.458570
-1299.954016,312.318023,94.472661
-1304.902317,311.631993,94.480631
-1309.827999,310.804095,94.483270
-1314.717567,309.786541,94.482843
-1319.585823,308.677316,94.477918
-1324.425101,307.464834,94.470191
-1329.253132,306.204162,94.462464
-1333.949301,304.535807,94.455578
-1338.575684,302.663061,94.449469
-1343.149322,300.661977,94.439895
-1347.606156,298.441520,94.431512
-1351.831190,295.828121,94.416257
-1355.825082,292.923532,94.395546
-1359.595248,289.700052,94.387119
-1363.189673,286.290104,94.377006
-1366.516053,282.622661,94.364756
-1369.496091,278.666385,94.345413
-1371.991055,274.379647,94.321860
-1374.102682,269.885896,94.292866
-1376.077808,265.342334,94.256806
-1377.364260,260.542212,94.206296
-1378.277684,255.670357,94.140246
-1378.879984,250.745841,94.062121
-1379.192393,245.788813,93.963799
-1379.008485,240.826683,93.835274
-1378.537534,235.899900,93.696497
-1377.592042,231.006813,93.531366
-1376.485973,226.149450,93.357808
-1375.035145,221.400606,93.165045
-1373.374253,216.704361,92.958403
-1371.573638,212.050662,92.735097
-1369.430630,207.555776,92.469357
-1367.125589,203.150633,92.192781
-1364.607908,198.855867,91.897176
-1361.771655,194.763851,91.574782
-1358.852012,190.733911,91.244529
-1355.851840,186.764516,90.904093
-1352.633284,182.964313,90.550615
-1349.309341,179.252119,90.193825
-1345.895229,175.627599,89.816960
-1342.336408,172.138720,89.436403
-1338.753907,168.674978,89.055214
-1335.080676,165.308275,88.674695
-1331.344101,162.011892,88.289586
-1327.565717,158.762499,87.911904
-1323.734511,155.575936,87.530182
-1319.854059,152.453077,87.115375
-1315.931075,149.381995,86.710684
-1311.971233,146.348869,86.377490
-1307.995394,143.347356,85.970451
-1304.008785,140.365402,85.521643
-1300.008613,137.390083,85.142639
-1296.006136,134.416192,84.774363
-1291.994647,131.452060,84.428231
-1287.971797,128.501694,84.097523
-1283.934301,125.569006,83.785745
-1279.885033,122.650456,83.496295
-1275.828128,119.741301,83.219575
-1271.766918,116.837821,82.947511
-1267.666798,113.987026,82.707568
-1263.562421,111.141859,82.471654
-1259.437891,108.324324,82.253013
-1255.309164,105.512748,82.037966
-1251.160503,102.730013,81.837626
-1246.994036,99.972106,81.664963
-1242.816553,97.229474,81.509485
-1238.635756,94.491789,81.359684
-1234.443423,91.771251,81.230405
-1230.225360,89.089244,81.126582
-1225.991502,86.431330,81.034287
-1221.747868,83.788738,80.950702
-1217.493909,81.162410,80.875475
-1213.223029,78.563516,80.820966
-1208.946911,75.973079,80.775559
-1204.664000,73.393570,80.743844
-1200.373700,70.826383,80.724864
-1196.073576,68.276012,80.718601
-1191.744228,65.775328,80.745475
-1187.412476,63.278669,80.773867
-1183.074908,60.792301,80.805307
