# x_m,y_m
0.049422,1253.488254
4.867814,1252.155034
9.716400,1250.937038
14.588739,1249.817470
19.479431,1248.781037
24.384381,1247.814088
29.300039,1246.902968
34.223280,1246.033814
39.151403,1245.192705
44.081897,1244.365672
49.012347,1243.538715
53.940476,1242.697948
58.863657,1241.828882
63.778765,1240.915630
68.682453,1239.941865
73.569999,1238.891047
78.436365,1237.747849
83.277022,1236.499480
88.087651,1235.139566
92.865375,1233.668437
97.607758,1232.087240
102.311736,1230.394938
106.973372,1228.589618
111.588465,1226.669720
116.153924,1224.632056
120.659003,1222.463861
125.089194,1220.148614
129.444473,1217.693988
133.730660,1215.120695
137.948058,1212.437178
142.094845,1209.645341
146.168562,1206.747714
150.166715,1203.746767
154.087030,1200.644799
157.927181,1197.444117
161.684839,1194.146963
165.357669,1190.755573
168.943400,1187.272220
172.439900,1183.699291
175.845685,1180.039840
179.161581,1176.298744
182.389168,1172.481175
185.529516,1168.591476
188.583287,1164.633406
191.551705,1160.610937
194.438242,1156.529303
197.247128,1152.394194
199.983997,1148.210822
202.648915,1143.980001
205.219914,1139.692841
207.676784,1135.340075
210.036865,1130.932231
212.318626,1126.483926
214.526330,1121.998914
216.660927,1117.478239
218.723193,1112.924175
220.714062,1108.338466
222.634527,1103.722807
224.485611,1099.078890
226.268338,1094.408317
227.983942,1089.712685
229.634554,1084.993802
231.223012,1080.253624
232.752208,1075.493997
234.225069,1070.716638
235.644590,1065.923157
237.013798,1061.115053
238.335788,1056.293750
239.613594,1051.460544
240.849562,1046.616462
242.045395,1041.762326
243.202784,1036.898887
244.323450,1032.026849
245.408975,1027.146863
246.459215,1022.259220
247.469060,1017.363146
248.432072,1012.457601
249.344119,1007.542238
250.202249,1002.617152
251.003603,997.682510
251.745286,992.738544
252.424366,987.785591
253.037876,982.824095
253.582825,977.854605
254.056186,972.877786
254.455108,967.894470
254.777028,962.905584
255.019398,957.912228
255.179926,952.915649
255.255147,947.917065
255.237729,942.917936
255.117715,937.920203
254.884477,932.926461
254.527882,927.940006
254.042881,922.964321
253.428903,918.002936
252.685744,913.059314
251.813200,908.136873
250.811230,903.239213
249.680096,898.370012
248.421394,893.532310
247.041253,888.727677
245.549109,883.956519
243.955042,879.218376
242.268842,874.512211
240.498217,869.837099
238.647857,865.192845
236.721896,860.579312
234.724774,855.996240
232.662209,851.442303
230.543084,846.914296
228.377299,842.408457
226.174229,837.920757
223.943037,833.446958
221.692765,828.982729
219.432359,824.523587
217.170958,820.064974
214.917243,815.602488
212.678080,811.132642
210.459485,806.652573
208.267535,802.159463
206.108706,797.650539
203.990766,793.122324
201.919204,788.572487
199.897344,784.000320
197.927312,779.405631
196.008699,774.789172
194.139833,770.152371
192.319142,765.496478
190.545189,760.822568
188.816668,756.131674
187.132404,751.424701
185.491182,746.702550
183.892239,741.965939
182.336079,737.215080
180.823880,732.450020
179.356812,727.670874
177.936014,722.877767
176.562620,718.070860
175.237754,713.250350
173.962540,708.416468
172.738096,703.569474
171.565544,698.709662
170.446033,693.837359
169.381009,688.952858
168.372277,684.056439
167.420801,679.148594
166.526065,674.230078
165.687167,669.301715
164.903463,664.364280
164.174709,659.418430
163.501241,654.464740
162.883599,649.503789
162.322306,644.536151
161.817885,639.562414
161.370856,634.583191
160.981732,629.599109
160.651032,624.610811
160.379263,619.618959
160.166837,614.624230
160.014075,609.627317
159.921294,604.628930
159.888810,599.629787
159.916952,594.630623
160.006029,589.632162
160.156384,584.635180
160.368289,579.640467
160.641334,574.648698
160.974411,569.660537
161.366314,564.676657
161.815883,559.697652
162.321954,554.724063
162.883375,549.756424
163.499011,544.795231
164.167692,539.840862
164.888771,534.893850
165.662772,529.954905
166.490644,525.024699
167.373295,520.103987
168.311642,515.193611
169.306622,510.294379
170.359158,505.407161
171.470193,500.532981
172.639739,495.672475
173.866104,490.825916
175.147107,485.993541
176.480685,481.175442
177.864825,476.371611
179.297497,471.582031
180.776803,466.806759
182.300630,462.045468
183.867956,457.298315
185.481383,452.566706
187.145410,447.852461
188.864987,443.158253
190.643248,438.486020
192.478197,433.835615
194.365670,429.206382
196.301741,424.597310
198.283787,420.007801
200.311541,415.438328
202.385671,410.889680
204.506745,406.362708
206.675313,401.858297
208.891938,397.377338
211.157151,392.920730
213.471511,388.489443
215.835346,384.084367
218.247947,379.705805
220.707904,375.353676
223.213828,371.027862
225.764373,366.728212
228.358223,362.454540
230.994044,358.206640
233.670627,353.984331
236.386670,349.787174
239.143907,345.616894
241.947759,341.477824
244.804138,337.374758
247.719354,333.313663
250.696645,329.298053
253.731422,325.325411
256.815908,321.391103
259.942608,317.490119
263.106840,313.619501
266.310244,309.781351
269.557210,305.980060
272.852173,302.220483
276.197810,298.505956
279.592430,294.836007
283.032350,291.208369
286.513921,287.620640
290.034305,284.071026
293.592647,280.559479
297.189035,277.086934
300.823497,273.654280
304.496046,270.262400
308.206675,266.912217
311.955348,263.604668
315.742085,260.340764
319.567520,257.122351
323.434017,253.953469
327.343565,250.837790
331.296456,247.777167
335.292588,244.773198
339.332087,241.827834
343.415147,238.943148
347.541857,236.121284
351.712255,233.364491
355.927099,230.676128
360.187698,228.060868
364.495173,225.523612
368.850419,223.069264
373.254065,220.702863
377.706487,218.429575
382.207792,216.254657
386.757817,214.183629
391.355873,212.221580
396.000490,210.372422
400.689747,208.639633
405.421572,207.026783
410.193709,205.537500
415.003676,204.175468
419.848849,202.944384
424.726015,201.847659
429.630858,200.883989
434.558503,200.043368
439.504434,199.315223
444.464467,198.690440
449.435134,198.156793
454.413239,197.696854
459.396057,197.291891
464.381712,196.923449
469.368882,196.575511
474.356765,196.236935
479.344709,195.898131
484.331978,195.549295
489.317802,195.180665
494.301358,194.782506
499.281548,194.345071
504.257002,193.858738
509.226339,193.313312
514.186667,192.692014
519.133883,191.973341
524.062378,191.134864
528.964019,190.152740
533.831492,189.013666
538.659978,187.719920
543.447529,186.281839
548.192710,184.709095
552.893488,183.008251
557.547665,181.183467
562.151335,179.234530
566.700761,177.162134
571.196494,174.975772
575.641576,172.688208
580.039614,170.311443
