# x_m,y_m,kappa_radpm
-196.974622,513.975249,-0.00204838
-194.585831,509.585943,-0.00181125
-192.236883,505.175184,-0.00157938
-189.922882,500.745976,-0.00136571
-187.639264,496.301024,-0.00117968
-185.381987,491.842657,-0.00101810
-183.147478,487.372865,-0.00086837
-180.932397,482.893433,-0.00071920
-178.733418,478.406080,-0.00056675
-176.547149,473.912519,-0.00041227
-174.370139,469.414463,-0.00025733
-172.198915,464.913613,-0.00010218
-170.029988,460.411657,0.00005352
-167.859855,455.910284,0.00020998
-165.684997,451.411194,0.00036728
-163.501882,446.916105,0.00052549
-161.306968,442.426768,0.00068470
-159.096703,437.944971,0.00084504
-156.867528,433.472550,0.00100657
-154.615880,429.011401,0.00116927
-152.338201,424.563486,0.00133292
-150.030943,420.130844,0.00149756
-147.690571,415.715597,0.00166426
-145.313546,411.319978,0.00183525
-142.896286,406.946355,0.00201252
-140.435139,402.597266,0.00219531
-137.926417,398.275429,0.00238006
-135.366465,393.983726,0.00256505
-132.751690,389.725198,0.00275601
-130.078451,385.503118,0.00296441
-127.342864,381.321138,0.00319763
-124.540711,377.183414,0.00345131
-121.667558,373.094613,0.00371318
-118.719013,369.059792,0.00397420
-115.690903,365.084292,0.00423452
-112.579324,361.173741,0.00449768
-109.380632,357.334084,0.00475882
-106.091597,353.571507,0.00499909
-102.709736,349.892133,0.00519426
-99.233677,346.301605,0.00533384
-95.663224,342.804863,0.00543937
-91.998900,339.406460,0.00557035
-88.240989,336.111598,0.00580802
-84.388497,332.927630,0.00620997
-80.438726,329.865204,0.00674872
-76.388122,326.937824,0.00728357
-72.234347,324.159257,0.00762292
-67.978474,321.539851,0.00766012
-63.625725,319.084275,0.00746704
-59.184103,316.792528,0.00724753
-54.661865,314.663645,0.00719361
-50.065598,312.699574,0.00737401
-45.399929,310.906908,0.00772756
-40.668575,309.295989,0.00813647
-35.875737,307.878621,0.00851090
-31.027000,306.666079,0.00882384
-26.129565,305.668229,0.00907842
-21.192034,304.893225,0.00925666
-16.224076,304.346905,0.00931842
-11.236074,304.031903,0.00925058
-6.238707,303.947390,0.00909618
-1.242520,304.089997,0.00892384
3.742387,304.455336,0.00877916
8.706440,305.039126,0.00867094
13.640493,305.837534,0.00859071
18.535696,306.847073,0.00853298
23.383369,308.064479,0.00849757
28.174922,309.486648,0.00847683
32.901884,311.110401,0.00844399
37.556140,312.931906,0.00836127
42.130337,314.945966,0.00820697
46.618231,317.145685,0.00799444
51.014746,319.522843,0.00776058
55.315743,322.068711,0.00753554
59.517740,324.774716,0.00732387
63.617815,327.632627,0.00711444
67.613645,330.634467,0.00691218
71.503293,333.772696,0.00676143
75.284410,337.040917,0.00672391
78.953181,340.434654,0.00681120
82.504063,343.951204,0.00693102
85.931267,347.588005,0.00691336
89.231641,351.340167,0.00661360
92.407334,355.198687,0.00601165
95.466502,359.150610,0.00521988
98.421743,363.181004,0.00439359
101.287519,367.275371,0.00362726
104.078285,371.421002,0.00292408
106.808010,375.606925,0.00224878
109.490417,379.823282,0.00159789
112.138832,384.061091,0.00101660
114.765294,388.312587,0.00055157
117.379672,392.571584,0.00019398
119.989815,396.833226,-0.00012784
122.602866,401.093099,-0.00050052
125.226897,405.346198,-0.00096944
127.871783,409.586332,-0.00152142
130.548962,413.806139,-0.00211226
133.270545,417.997456,-0.00270468
136.048494,422.151657,-0.00328330
138.894195,426.259777,-0.00384754
141.818364,430.312471,-0.00440710
144.831199,434.299800,-0.00498854
147.942793,438.210738,-0.00563328
